"cluster","area_km2"
0,7632.43120668942
1,3504.01841180332
2,1714.01985369806
3,5158.72009872756
4,5357.80879956544
5,192.788798700611
6,4843.6015640716
7,2094.91654434183
8,4219.01314101776
9,5795.46456008663
