"class_id","class_name","precision","recall","f1","support"
0,"Water",0.930320150659134,0.939163498098859,0.934720908230842,526
1,"Trees",0.808510638297872,0.520547945205479,0.633333333333333,73
3,"Flooded vegetation",NA,0,0,33
4,"Crops",0.933675852405418,0.97702834799609,0.954860281824696,2046
5,"Shrub & scrub",NA,0,0,4
6,"Built area",0.910714285714286,0.879310344827586,0.894736842105263,290
7,"Bare ground",1,0.0357142857142857,0.0689655172413793,28
